CP,msg
productor,"{index: 77, value: .\..\..\.git\objects\b7\35acdda1f8fa35494e0f4ebf14a34e3c13b695}"
consumer,"{index: 77, value: .\..\..\.git\objects\b7\35acdda1f8fa35494e0f4ebf14a34e3c13b695}"
productor,"{index: 77, value: .\..\..\.git\objects\b7\879b974fca0e27bacfdbf19ddd7b9c560a5b01}"
consumer,"{index: 77, value: .\..\..\.git\objects\b7\879b974fca0e27bacfdbf19ddd7b9c560a5b01}"
productor,"{index: 78, value: .\..\..\.git\objects\b8\faf2ba83b1e07fa70db09acefad712e3941bad}"
consumer,"{index: 78, value: .\..\..\.git\objects\b8\faf2ba83b1e07fa70db09acefad712e3941bad}"
productor,"{index: 79, value: .\..\..\.git\objects\bb\9c2c00819f662bf7fe4bf0a9a3cc3e686ed413}"
consumer,"{index: 79, value: .\..\..\.git\objects\bb\9c2c00819f662bf7fe4bf0a9a3cc3e686ed413}"
productor,"{index: 80, value: .\..\..\.git\objects\be\5fde06a44e09c23444ab75da1aca11e201d6c8}"
consumer,"{index: 80, value: .\..\..\.git\objects\be\5fde06a44e09c23444ab75da1aca11e201d6c8}"
productor,"{index: 80, value: .\..\..\.git\objects\be\a2f97e0de48445a9f8c63d4df7a0c4bd0e75d1}"
consumer,"{index: 80, value: .\..\..\.git\objects\be\a2f97e0de48445a9f8c63d4df7a0c4bd0e75d1}"
productor,"{index: 81, value: .\..\..\.git\objects\bf\5fefd83ebf6c3846b1c0696abf9db9612ff737}"
consumer,"{index: 81, value: .\..\..\.git\objects\bf\5fefd83ebf6c3846b1c0696abf9db9612ff737}"
productor,"{index: 82, value: .\..\..\.git\objects\c3\31decb05837c10988e7baf76b002c8f2133c05}"
consumer,"{index: 82, value: .\..\..\.git\objects\c3\31decb05837c10988e7baf76b002c8f2133c05}"
productor,"{index: 82, value: .\..\..\.git\objects\c3\603aff8837e0b96c4c21f72465b71bb223a697}"
consumer,"{index: 82, value: .\..\..\.git\objects\c3\603aff8837e0b96c4c21f72465b71bb223a697}"
